KLTO	Klotho Neurosciences, Inc.	Biotechnology	39.09M
KLTR	Kaltura, Inc.	Software - Application	217.30M
KLXE	KLX Energy Services Holdings, Inc.	Oil & Gas Equipment & Services	45.31M
KMB	Kimberly-Clark Corporation	Household & Personal Products	36.99B
KMDA	Kamada Ltd.	Drug Manufacturers - Specialty & Generic	500.76M
KMI	Kinder Morgan, Inc.	Oil & Gas Midstream	74.02B
KMPR	Kemper Corporation	Insurance - Property & Casualty	1.90B
KMRK	K-TECH Solutions Company Limited	Leisure	45.79M
KMT	Kennametal Inc.	Tools & Accessories	3.07B
KMTS	Kestra Medical Technologies, Ltd.	Medical Instruments & Supplies	1.36B
KMX	CarMax, Inc.	Auto & Truck Dealerships	6.12B
KN	Knowles Corporation	Electronic Components	2.31B
KNDI	Kandi Technologies Group, Inc.	Recreational Vehicles	86.85M
KNF	Knife River Corporation	Building Materials	5.04B
KNOP	KNOT Offshore Partners LP	Oil & Gas Midstream	373.48M
KNRX	Knorex Ltd.	Software - Application	36.77M
KNSA	Kiniksa Pharmaceuticals International, plc	Drug Manufacturers - Specialty & Generic	3.41B
KNSL	Kinsale Capital Group, Inc.	Insurance - Property & Casualty	9.02B
KNTK	Kinetik Holdings Inc.	Oil & Gas Midstream	7.35B
KNX	Knight-Swift Transportation Holdings Inc.	Trucking	10.22B
KO	The Coca-Cola Company	Beverages - Non-Alcoholic	350.77B
KOD	Kodiak Sciences Inc.	Biotechnology	1.66B
KODK	Eastman Kodak Company	Specialty Business Services	705.65M
KOF	Coca-Cola FEMSA, S.A.B. de C.V.	Beverages - Non-Alcoholic	23.35B
KOP	Koppers Holdings Inc.	Specialty Chemicals	735.43M
KOPN	Kopin Corporation	Electronic Components	388.74M
KORE	KORE Group Holdings, Inc.	Telecom Services	157.31M
KOS	Kosmos Energy Ltd.	Oil & Gas Exploration & Production	1.11B
KOSS	Koss Corporation	Consumer Electronics	39.10M
KOYN	CSLM Digital Asset Acquisition Corp III, Ltd	Shell Companies	316.56M
KPLT	Katapult Holdings, Inc.	Software - Infrastructure	29.08M
KPRX	Kiora Pharmaceuticals, Inc.	Biotechnology	7.67M
KPTI	Karyopharm Therapeutics Inc.	Biotechnology	172.62M
KR	The Kroger Co.	Grocery Stores	43.19B
KRAQ	KRAKacquisition Corp.	Shell Companies	86.85M
KRC	Kilroy Realty Corporation	REIT - Office	3.57B
KREF	KKR Real Estate Finance Trust Inc.	REIT - Mortgage	446.72M
KRG	Kite Realty Group Trust	REIT - Retail	5.51B
KRKR	36Kr Holdings Inc.	Advertising Agencies	7.02M
KRMD	KORU Medical Systems, Inc.	Medical Instruments & Supplies	220.96M
KRMN	Karman Holdings Inc.	Aerospace & Defense	11.66B
KRNT	Kornit Digital Ltd.	Specialty Industrial Machinery	702.92M
KRNY	Kearny Financial Corp.	Banks - Regional	481.05M
KRO	Kronos Worldwide, Inc.	Specialty Chemicals	668.46M
KROS	Keros Therapeutics, Inc.	Biotechnology	432.31M
KRP	Kimbell Royalty Partners, LP	Oil & Gas Exploration & Production	1.55B
KRRO	Korro Bio, Inc.	Biotechnology	114.23M
KRSP	Rice Acquisition Corporation 3	Shell Companies	474.75M
KRT	Karat Packaging Inc.	Packaging & Containers	495.45M
KRUS	Kura Sushi USA, Inc.	Restaurants	853.01M
KRYS	Krystal Biotech, Inc.	Biotechnology	8.06B
KSCP	Knightscope, Inc.	Security & Protection Services	45.69M
KSPI	Joint Stock Company Kaspi.kz	Software - Infrastructure	13.47B
KSS	Kohl's Corporation	Department Stores	1.84B
KT	KT Corporation	Telecom Services	10.68B
KTB	Kontoor Brands, Inc.	Apparel Manufacturing	3.63B
KTCC	Key Tronic Corporation	Computer Hardware	31.27M
KTOS	Kratos Defense & Security Solutions, Inc.	Aerospace & Defense	15.91B
KTTA	Pasithea Therapeutics Corp.	Biotechnology	20.36M
KTWO	K2 Capital Acquisition Corporation	Shell Companies	190.00M
KULR	KULR Technology Group, Inc.	Electronic Components	128.28M
KURA	Kura Oncology, Inc.	Biotechnology	759.66M
KUST	Kustom Entertainment, Inc.	Entertainment	913.15K
KVAC	Keen Vision Acquisition Corporation	Shell Companies	110.03M
KVHI	KVH Industries, Inc.	Telecom Services	118.03M
KVUE	Kenvue Inc.	Household & Personal Products	36.65B
KVYO	Klaviyo, Inc.	Software - Application	5.31B
KW	Kennedy-Wilson Holdings, Inc.	Real Estate Services	1.50B
KWM	K Wave Media Ltd.	Entertainment	42.72M
KWR	Quaker Chemical Corporation	Specialty Chemicals	2.55B
KXIN	Kaixin Holdings	Auto & Truck Dealerships	3.33M
KYMR	Kymera Therapeutics, Inc.	Biotechnology	7.43B
KYNB	Kyntra Bio, Inc.	Biotechnology	28.03M
KYTX	Kyverna Therapeutics, Inc.	Biotechnology	469.03M
KZIA	Kazia Therapeutics Limited	Biotechnology	92.07M
KZR	Kezar Life Sciences, Inc.	Biotechnology	49.07M
L	Loews Corporation	Insurance - Property & Casualty	22.67B
LAB	Standard BioTools Inc.	Medical Devices	434.56M
LAC	Lithium Americas Corp.	Other Industrial Metals & Mining	1.54B
LAD	Lithia Motors, Inc.	Auto & Truck Dealerships	6.54B
LADR	Ladder Capital Corp	REIT - Mortgage	1.32B
LAES	SEALSQ Corp	Semiconductors	726.66M
LAFA	LaFayette Acquisition Corp.	Shell Companies	156.35M
LAKE	Lakeland Industries, Inc.	Apparel Manufacturing	89.92M
LAMR	Lamar Advertising Company	REIT - Specialty	13.96B
LAND	Gladstone Land Corporation	REIT - Specialty	457.64M
LANV	Lanvin Group Holdings Limited	Luxury Goods	202.31M
LAR	Lithium Argentina AG	Other Industrial Metals & Mining	1.31B
LARK	Landmark Bancorp, Inc.	Banks - Regional	168.50M
LASE	Laser Photonics Corporation	Specialty Industrial Machinery	29.23M
LASR	nLIGHT, Inc.	Semiconductors	3.11B
LATA	Galata Acquisition Corp. II	Shell Companies	230.46M
LAUR	Laureate Education, Inc.	Education & Training Services	4.62B
LAW	CS Disco, Inc.	Software - Application	205.82M
LAWR	Robot Consulting Co., Ltd.	Consulting Services	186.41M
LAZ	Lazard, Inc.	Capital Markets	4.75B
LB	LandBridge Company LLC	Oil & Gas Equipment & Services	5.74B
LBGJ	Li Bang International Corporation Inc.	Specialty Industrial Machinery	22.89M
LBRDA	Liberty Broadband Corporation	Telecom Services	6.61B
LBRDK	Liberty Broadband Corporation	Telecom Services	7.84B
LBRT	Liberty Energy Inc.	Oil & Gas Equipment & Services	4.55B
LBRX	LB Pharmaceuticals Inc	Biotechnology	607.43M
LBTYA	Liberty Global Ltd.	Telecom Services	4.29B
LBTYB	Liberty Global Ltd.	Telecom Services	3.55B
LBTYK	Liberty Global Ltd.	Telecom Services	3.55B
LC	LendingClub Corporation	Banks - Regional	1.72B
LCCC	Lakeshore Acquisition III Corp.	Shell Companies	91.63M
LCFY	Locafy Limited	Internet Content & Information	8.53M
LCID	Lucid Group, Inc.	Auto Manufacturers	3.28B
LCII	LCI Industries	Recreational Vehicles	3.22B
LCNB	LCNB Corp.	Banks - Regional	241.15M
LCTX	Lineage Cell Therapeutics, Inc.	Biotechnology	465.27M
LCUT	Lifetime Brands, Inc.	Furnishings, Fixtures & Appliances	75.10M
LDI	loanDepot, Inc.	Mortgage Finance	700.46M
LDOS	Leidos Holdings, Inc.	Information Technology Services	22.13B
LE	Lands' End, Inc.	Apparel Retail	490.96M
LEA	Lear Corporation	Auto Parts	6.66B
LECO	Lincoln Electric Holdings, Inc.	Tools & Accessories	15.73B
LEDS	SemiLEDs Corporation	Semiconductors	12.26M
LEE	Lee Enterprises, Incorporated	Publishing	193.26M
LEG	Leggett & Platt, Incorporated	Furnishings, Fixtures & Appliances	1.58B
LEGH	Legacy Housing Corporation	Residential Construction	523.20M
LEGN	Legend Biotech Corporation	Biotechnology	3.51B
LEGO	Legato Merger Corp. IV	Shell Companies	235.39M
LEGT	Legato Merger Corp. III	Shell Companies	281.47M
LEN	Lennar Corporation	Residential Construction	28.32B
LEN.B	Lennar Corporation	Residential Construction	28.08B
LENZ	LENZ Therapeutics, Inc.	Biotechnology	422.10M
LESL	Leslie's, Inc.	Specialty Retail	10.25M
LEU	Centrus Energy Corp.	Uranium	3.98B
LEVI	Levi Strauss & Co.	Apparel Manufacturing	8.65B
LEXX	Lexaria Bioscience Corp.	Biotechnology	17.40M
LFAC	Leapfrog Acquisition Corporation	Shell Companies	189.01M
LFCR	Lifecore Biomedical, Inc.	Drug Manufacturers - Specialty & Generic	269.76M
LFMD	LifeMD, Inc.	Health Information Services	128.52M
LFS	Leifras Co., Ltd.	Entertainment	63.83M
LFST	LifeStance Health Group, Inc.	Medical Care Facilities	2.82B
LFT	Lument Finance Trust, Inc.	REIT - Mortgage	72.26M
LFUS	Littelfuse, Inc.	Electronic Components	8.85B
LFVN	LifeVantage Corporation	Packaged Foods	59.49M
LFWD	Lifeward Ltd.	Medical Devices	11.28M
LGCB	Linkage Global Inc	Internet Retail	20.98M
LGCL	Lucas GC Limited	Software - Application	71.73M
LGCY	Legacy Education Inc.	Education & Training Services	173.68M
LGHL	Lion Group Holding Ltd.	Capital Markets	272.67K
LGIH	LGI Homes, Inc.	Residential Construction	1.20B
LGL	The LGL Group, Inc.	Scientific & Technical Instruments	39.18M
LGN	Legence Corp.	Engineering & Construction	6.26B
LGND	Ligand Pharmaceuticals Incorporated	Biotechnology	3.90B
LGO	Largo Inc.	Other Industrial Metals & Mining	142.35M
LGPS	LogProstyle Inc.	Conglomerates	19.35M
LGVN	Longeveron Inc.	Biotechnology	11.55M
LH	Labcorp Holdings Inc.	Diagnostics & Research	23.82B
LHAI	Linkhome Holdings Inc.	Real Estate Services	20.13M
LHSW	Lianhe Sowell International Group Ltd	Software - Infrastructure	9.36M
LHX	L3Harris Technologies, Inc.	Aerospace & Defense	68.09B
LI	Li Auto Inc.	Auto Manufacturers	17.95B
LICN	Lichen International Limited	Specialty Business Services	50.99M
LIDR	AEye, Inc.	Software - Infrastructure	73.89M
LIEN	Chicago Atlantic BDC, Inc.	Asset Management	228.89M
LIF	Life360, Inc.	Software - Application	4.20B
LIFE	Ethos Technologies Inc.	Insurance - Life	772.60M
LII	Lennox International Inc.	Building Products & Equipment	19.84B
LILA	Liberty Latin America Ltd.	Telecom Services	1.57B
LILAK	Liberty Latin America Ltd.	Telecom Services	1.44B
LIMN	Liminatus Pharma, Inc.	Biotechnology	8.94M
LIN	Linde plc	Specialty Chemicals	235.44B
LINC	Lincoln Educational Services Corporation	Education & Training Services	1.15B
LIND	Lindblad Expeditions Holdings, Inc.	Travel Services	1.09B
LINE	Lineage, Inc.	REIT - Industrial	10.23B
LINK	Interlink Electronics, Inc.	Electronic Components	49.93M
LION	Lionsgate Studios Corp.	Entertainment	2.61B
LIQT	LiqTech International, Inc.	Pollution & Treatment Controls	19.16M
LITB	LightInTheBox Holding Co., Ltd.	Internet Retail	48.55M
LITE	Lumentum Holdings Inc.	Communication Equipment	50.04B
LITM	Snow Lake Resources Ltd.	Other Industrial Metals & Mining	53.18M
LITS	Lite Strategy, Inc.	Biotechnology	41.09M
LIVE	Live Ventures Incorporated	Home Improvement Retail	42.88M
LIVN	LivaNova PLC	Medical Devices	3.86B
LIXT	Lixte Biotechnology Holdings, Inc.	Biotechnology	25.18M
LKFN	Lakeland Financial Corporation	Banks - Regional	1.47B
LKQ	LKQ Corporation	Auto Parts	8.45B
LKSP	Lake Superior Acquisition Corp.	Shell Companies	157.40M
LLY	Eli Lilly and Company	Drug Manufacturers - General	939.80B
LLYVA	Liberty Live Holdings, Inc.	Entertainment	7.61B
LLYVK	Liberty Live Holdings, Inc.	Entertainment	9.15B
LMAT	LeMaitre Vascular, Inc.	Medical Instruments & Supplies	2.46B
LMB	Limbach Holdings, Inc.	Building Products & Equipment	1.06B
LMFA	LM Funding America, Inc.	Credit Services	5.26M
LMND	Lemonade, Inc.	Insurance - Property & Casualty	3.95B
LMNR	Limoneira Company	Farm Products	255.47M
LMRI	Lumexa Imaging Holdings, Inc.	Medical Care Facilities	1.34B
LMT	Lockheed Martin Corporation	Aerospace & Defense	151.41B
LNAI	Lunai Bioworks Inc.	Biotechnology	8.96M
LNC	Lincoln National Corporation	Insurance - Life	6.52B
LND	BrasilAgro - Companhia Brasileira de Propriedades Agrícolas	Farm Products	415.06M
LNG	Cheniere Energy, Inc.	Oil & Gas Midstream	49.55B
LNKB	LINKBANCORP, Inc.	Banks - Regional	324.01M
LNKS	Linkers Industries Limited	Electrical Equipment & Parts	15.85M
LNN	Lindsay Corporation	Farm & Heavy Construction Machinery	1.41B
LNSR	LENSAR, Inc.	Medical Devices	142.98M
LNT	Alliant Energy Corporation	Utilities - Regulated Electric	18.60B
LNTH	Lantheus Holdings, Inc.	Drug Manufacturers - Specialty & Generic	4.97B
LNZA	LanzaTech Global, Inc.	Waste Management	86.40M
LOAN	Manhattan Bridge Capital, Inc.	REIT - Mortgage	50.15M
LOAR	Loar Holdings Inc.	Aerospace & Defense	6.63B
LOB	Live Oak Bancshares, Inc.	Banks - Regional	1.67B
LOBO	Lobo Technologies Ltd.	Auto Manufacturers	6.74M
LOCL	Local Bounti Corporation	Farm Products	33.85M
LOCO	El Pollo Loco Holdings, Inc.	Restaurants	331.30M
LODE	Comstock Inc.	Other Precious Metals & Mining	221.25M
LOGI	Logitech International S.A.	Computer Hardware	13.51B
LOKV	Live Oak Acquisition Corp. V	Shell Companies	296.99M
LOMA	Loma Negra Compañía Industrial Argentina Sociedad Anónima	Building Materials	1.21B
LONA	LeonaBio, Inc.	Biotechnology	52.56M
LOOP	Loop Industries, Inc.	Specialty Chemicals	62.84M
LOPE	Grand Canyon Education, Inc.	Education & Training Services	4.27B
LOT	Lotus Technology Inc.	Auto Manufacturers	780.73M
LOVE	The Lovesac Company	Furnishings, Fixtures & Appliances	186.81M
LOW	Lowe's Companies, Inc.	Home Improvement Retail	148.41B
LPA	Logistic Properties of the Americas	Real Estate - Development	79.68M
LPAA	Launch One Acquisition Corp.	Shell Companies	308.49M
LPBB	Launch Two Acquisition Corp.	Shell Companies	303.60M
LPCN	Lipocine Inc.	Biotechnology	55.30M
LPCV	Launchpad Cadenza Acquisition Corp I	Shell Companies	285.78M
LPG	Dorian LPG Ltd.	Oil & Gas Midstream	1.58B
LPL	LG Display Co., Ltd.	Consumer Electronics	4.98B
LPLA	LPL Financial Holdings Inc.	Capital Markets	24.05B
LPRO	Open Lending Corporation	Credit Services	157.19M
LPSN	LivePerson, Inc.	Software - Application	34.03M
LPTH	LightPath Technologies, Inc.	Electronic Components	601.90M
LPX	Louisiana-Pacific Corporation	Building Products & Equipment	5.92B
LQDA	Liquidia Corporation	Biotechnology	2.70B
LQDT	Liquidity Services, Inc.	Internet Retail	980.35M
LRCX	Lam Research Corporation	Semiconductor Equipment & Materials	292.08B
LRE	Lead Real Estate Co., Ltd	Real Estate - Development	18.83M
LRHC	La Rosa Holdings Corp.	Real Estate Services	572.50K
LRMR	Larimar Therapeutics, Inc.	Biotechnology	576.61M
LRN	Stride, Inc.	Education & Training Services	3.55B
LSAK	Lesaka Technologies, Inc.	Software - Infrastructure	380.23M
LSBK	Lake Shore Bancorp, Inc.	Banks - Regional	113.18M
LSCC	Lattice Semiconductor Corporation	Semiconductors	13.08B
LSE	Leishen Energy Holding Co., Ltd.	Oil & Gas Equipment & Services	78.32M
LSF	Laird Superfood, Inc.	Packaged Foods	29.07M
LSH	Lakeside Holding Limited	Integrated Freight & Logistics	22.76M
LSPD	Lightspeed Commerce Inc.	Software - Application	1.24B
LSTA	Lisata Therapeutics, Inc.	Biotechnology	36.17M
LSTR	Landstar System, Inc.	Integrated Freight & Logistics	5.55B
LTBR	Lightbridge Corporation	Electrical Equipment & Parts	414.26M
LTC	LTC Properties, Inc.	REIT - Healthcare Facilities	1.92B
LTH	Life Time Group Holdings, Inc.	Leisure	5.99B
LTM	LATAM Airlines Group S.A.	Airlines	16.17B
LTRN	Lantern Pharma Inc.	Biotechnology	31.54M
LTRX	Lantronix, Inc.	Communication Equipment	237.36M
LU	Lufax Holding Ltd	Credit Services	2.25B
LUCD	Lucid Diagnostics Inc.	Medical Devices	198.26M
LUCK	Lucky Strike Entertainment Corporation	Leisure	1.15B
LUCY	Lucyd, Inc	Medical Instruments & Supplies	5.99M
LUD	Luda Technology Group Limited	Steel	140.56M
LULU	lululemon athletica inc.	Apparel Retail	21.72B
LUMN	Lumen Technologies, Inc.	Telecom Services	7.28B
LUNG	Pulmonx Corporation	Medical Devices	65.17M
LUNR	Intuitive Machines, Inc.	Aerospace & Defense	2.97B
LUV	Southwest Airlines Co.	Airlines	24.20B
LUXE	LuxExperience B.V.	Luxury Goods	1.33B
LVLU	Lulu's Fashion Lounge Holdings, Inc.	Apparel Retail	42.83M
LVO	LiveOne, Inc.	Entertainment	63.93M
LVS	Las Vegas Sands Corp.	Resorts & Casinos	38.11B
LVWR	LiveWire Group, Inc.	Auto Manufacturers	343.29M
LW	Lamb Weston Holdings, Inc.	Packaged Foods	6.69B
LWAC	LightWave Acquisition Corp.	Shell Companies	304.06M
LWAY	Lifeway Foods, Inc.	Packaged Foods	337.47M
LWLG	Lightwave Logic, Inc.	Specialty Chemicals	641.35M
LX	LexinFintech Holdings Ltd.	Credit Services	486.28M
LXEH	Lixiang Education Holding Co., Ltd.	Education & Training Services	4.28M
LXEO	Lexeo Therapeutics, Inc.	Biotechnology	524.05M
LXFR	Luxfer Holdings PLC	Specialty Industrial Machinery	342.86M
LXP	LXP Industrial Trust	REIT - Industrial	2.93B
LXRX	Lexicon Pharmaceuticals, Inc.	Biotechnology	627.81M
LXU	LSB Industries, Inc.	Chemicals	833.15M
LYB	LyondellBasell Industries N.V.	Specialty Chemicals	18.53B
LYEL	Lyell Immunopharma, Inc.	Biotechnology	509.85M
LYFT	Lyft, Inc.	Software - Application	5.51B
LYG	Lloyds Banking Group plc	Banks - Regional	80.81B
LYRA	Lyra Therapeutics, Inc.	Biotechnology	1.79M
LYTS	LSI Industries Inc.	Electronic Components	749.01M
LYV	Live Nation Entertainment, Inc.	Entertainment	37.68B
LZ	LegalZoom.com, Inc.	Specialty Business Services	1.22B
LZB	La-Z-Boy Incorporated	Furnishings, Fixtures & Appliances	1.46B
LZM	Lifezone Metals Limited	Other Industrial Metals & Mining	389.60M
LZMH	LZ Technology Holdings Limited	Information Technology Services	182.48M
M	Macy's, Inc.	Department Stores	5.26B
MA	Mastercard Incorporated	Credit Services	461.25B
MAA	Mid-America Apartment Communities, Inc.	REIT - Residential	16.04B
MAAS	Maase Inc.	Asset Management	2.11B
MAC	The Macerich Company	REIT - Retail	5.49B
MACI	Melar Acquisition Corp. I	Shell Companies	231.68M
MAGH	Magnitude International Ltd	Engineering & Construction	236.60M
MAGN	Magnera Corporation	Household & Personal Products	464.26M
MAIA	MAIA Biotechnology, Inc.	Biotechnology	86.48M
MAIN	Main Street Capital Corporation	Asset Management	5.09B
MAMA	Mama's Creations, Inc.	Packaged Foods	696.80M
MAMK	MaxsMaking Inc.	Conglomerates	216.13M
MAMO	Massimo Group	Recreational Vehicles	42.47M
MAN	ManpowerGroup Inc.	Staffing & Employment Services	1.30B
MANE	Veradermics, Incorporated	Biotechnology	1.71B
MANH	Manhattan Associates, Inc.	Software - Application	8.11B
MANU	Manchester United plc	Entertainment	3.11B
MAPS	WM Technology, Inc.	Software - Application	114.33M
MAR	Marriott International, Inc.	Lodging	90.55B
MARA	MARA Holdings, Inc.	Capital Markets	3.38B
MARPS	Marine Petroleum Trust	Oil & Gas Midstream	10.22M
MAS	Masco Corporation	Building Products & Equipment	14.58B
MASI	Masimo Corporation	Medical Devices	9.15B
MASK	3 E Network Technology Group Limited	Software - Application	4.14M
MASS	908 Devices Inc.	Medical Devices	249.73M
MAT	Mattel, Inc.	Leisure	5.12B
MATH	Metalpha Technology Holding Limited	Capital Markets	53.91M
MATV	Mativ Holdings, Inc.	Specialty Chemicals	592.74M
MATW	Matthews International Corporation	Conglomerates	822.66M
MATX	Matson, Inc.	Marine Shipping	5.18B
MAX	MediaAlpha, Inc.	Internet Content & Information	641.09M
MAXN	Maxeon Solar Technologies, Ltd.	Solar	41.49M
MAYS	J.W. Mays, Inc.	Real Estate Services	82.91M
MAZE	Maze Therapeutics, Inc.	Biotechnology	2.19B
MB	MasterBeef Group	Restaurants	93.15M
MBAI	Check-Cap Ltd.	Diagnostics & Research	11.88M
MBAV	M3-Brigade Acquisition V Corp.	Shell Companies	383.81M
MBBC	Marathon Bancorp, Inc.	Banks - Regional	41.26M
MBC	MasterBrand, Inc.	Furnishings, Fixtures & Appliances	1.29B
MBCN	Middlefield Banc Corp.	Banks - Regional	272.39M
MBI	MBIA Inc.	Insurance - Specialty	330.84M
MBIN	Merchants Bancorp	Banks - Regional	1.94B
MBIO	Mustang Bio, Inc.	Biotechnology	7.37M
MBLY	Mobileye Global Inc.	Auto Parts	7.12B
MBOT	Microbot Medical Inc.	Medical Instruments & Supplies	161.85M
MBRX	Moleculin Biotech, Inc.	Biotechnology	7.36M
MBUU	Malibu Boats, Inc.	Recreational Vehicles	548.45M
MBVI	M3-Brigade Acquisition Vi Corp.	Shell Companies	434.70M
MBWM	Mercantile Bank Corporation	Banks - Regional	887.58M
MBX	MBX Biosciences, Inc.	Biotechnology	1.53B
MC	Moelis & Company	Capital Markets	4.36B
MCB	Metropolitan Bank Holding Corp.	Banks - Regional	1.03B
MCBS	MetroCity Bankshares, Inc.	Banks - Regional	809.78M
MCD	McDonald's Corporation	Restaurants	242.29B
MCFT	MasterCraft Boat Holdings, Inc.	Recreational Vehicles	353.46M
MCGA	Yorkville Acquisition Corp.	Shell Companies	239.59M
MCHB	Mechanics Bancorp	Banks - Regional	3.16B
MCHP	Microchip Technology Incorporated	Semiconductors	40.39B
MCHX	Marchex, Inc.	Advertising Agencies	64.38M
MCK	McKesson Corporation	Medical Distribution	120.94B
MCO	Moody's Corporation	Financial Data & Stock Exchanges	84.68B
MCRB	Seres Therapeutics, Inc.	Biotechnology	79.07M
MCRI	Monarch Casino & Resort, Inc.	Resorts & Casinos	1.72B
MCRP	Micropolis AI Robotics	Computer Hardware	144.44M
MCS	The Marcus Corporation	Entertainment	516.91M
MCTA	Charming Medical Limited	Medical Care Facilities	504.26M
MCW	Mister Car Wash, Inc.	Auto & Truck Dealerships	2.34B
MCY	Mercury General Corporation	Insurance - Property & Casualty	5.02B
MD	Pediatrix Medical Group, Inc.	Medical Care Facilities	1.61B
MDAI	Spectral AI, Inc.	Medical Devices	42.96M
MDB	MongoDB, Inc.	Software - Infrastructure	26.73B
MDBH	MDB Capital Holdings, LLC	Capital Markets	31.86M
MDCX	Medicus Pharma Ltd.	Drug Manufacturers - General	39.22M
MDGL	Madrigal Pharmaceuticals, Inc.	Biotechnology	9.91B
MDIA	MediaCo Holding Inc.	Broadcasting	50.75M
MDLN	Medline Inc.	Medical Instruments & Supplies	62.41B
MDLZ	Mondelez International, Inc.	Confectioners	78.94B
MDRR	Medalist Diversified REIT, Inc.	REIT - Diversified	25.65M
MDT	Medtronic plc	Medical Devices	125.38B
MDU	MDU Resources Group, Inc.	Utilities - Regulated Gas	4.23B
MDV	Modiv Industrial, Inc.	REIT - Industrial	184.08M
MDWD	MediWound Ltd.	Biotechnology	221.70M
MDXG	MiMedx Group, Inc.	Biotechnology	726.49M
MDXH	MDxHealth SA	Diagnostics & Research	174.64M
MEC	Mayville Engineering Company, Inc.	Metal Fabrication	426.69M
MED	Medifast, Inc.	Personal Services	108.61M
MEDP	Medpace Holdings, Inc.	Diagnostics & Research	12.82B
MEG	Montrose Environmental Group, Inc.	Waste Management	1.03B
MEGL	Magic Empire Global Limited	Capital Markets	4.71M
MEHA	Functional Brands Inc.	Packaged Foods	3.76M
MEI	Methode Electronics, Inc.	Electronic Components	299.55M
MELI	MercadoLibre, Inc.	Internet Retail	89.10B
MENS	Jyong Biotech Ltd.	Biotechnology	164.57M
MEOH	Methanex Corporation	Chemicals	3.90B
MERC	Mercer International Inc.	Paper & Paper Products	120.37M
MESH	Meshflow Acquisition Corp.	Shell Companies	415.38M
MESO	Mesoblast Limited	Biotechnology	2.06B
MET	MetLife, Inc.	Insurance - Life	46.99B
META	Meta Platforms, Inc.	Internet Content & Information	1.64T
METC	Ramaco Resources, Inc.	Coking Coal	1.00B
METCB	Ramaco Resources, Inc.	Coking Coal	1.26B
MEVO	M Evo Global Acquisition Corp II	Shell Companies	384.54M
MFA	MFA Financial, Inc.	REIT - Mortgage	1.03B
MFC	Manulife Financial Corporation	Insurance - Life	59.72B
MFG	Mizuho Financial Group, Inc.	Banks - Regional	112.77B
MFI	mF International Limited	Software - Application	19.15M
MFIC	MidCap Financial Investment Corporation	Asset Management	892.61M
MFIN	Medallion Financial Corp.	Credit Services	227.88M
MG	Mistras Group, Inc.	Security & Protection Services	482.06M
MGA	Magna International Inc.	Auto Parts	17.84B
MGEE	MGE Energy, Inc.	Utilities - Regulated Electric	3.00B
MGIH	Millennium Group International Holdings Limited	Packaging & Containers	16.31M
MGLD	The Marygold Companies, Inc.	Asset Management	44.44M
MGM	MGM Resorts International	Resorts & Casinos	9.43B
MGN	Megan Holdings Limited	Engineering & Construction	32.50M
MGNI	Magnite, Inc.	Advertising Agencies	1.97B
MGNX	MacroGenics, Inc.	Biotechnology	125.88M
MGPI	MGP Ingredients, Inc.	Beverages - Wineries & Distilleries	405.90M
MGRC	McGrath RentCorp	Rental & Leasing Services	2.73B
MGRT	Mega Fortune Company Limited	Information Technology Services	90.20M
MGRX	Mangoceuticals, Inc.	Health Information Services	8.23M
MGTX	MeiraGTx Holdings plc	Biotechnology	608.51M
MGX	Metagenomi Therapeutics, Inc.	Biotechnology	57.07M
MGY	Magnolia Oil & Gas Corporation	Oil & Gas Exploration & Production	5.19B
MGYR	Magyar Bancorp, Inc.	Banks - Regional	113.49M
MH	McGraw Hill, Inc.	Education & Training Services	2.67B
MHH	Mastech Digital, Inc.	Staffing & Employment Services	70.30M
MHK	Mohawk Industries, Inc.	Furnishings, Fixtures & Appliances	7.70B
MHO	M/I Homes, Inc.	Residential Construction	3.66B
MI	NFT Limited	Internet Retail	26.62M
MIAX	Miami International Holdings, Inc.	Capital Markets	3.90B
MICC	The Magnum Ice Cream Company N.V.	Packaged Foods	9.72B
MIDD	The Middleby Corporation	Specialty Industrial Machinery	8.51B
MIGI	Mawson Infrastructure Group Inc.	Capital Markets	9.78M
MIMI	Mint Incorporation Limited	Engineering & Construction	8.43M
MIND	MIND Technology, Inc.	Scientific & Technical Instruments	68.78M
MINE	Mayfair Gold Corp.	Farm Products	266.96M
MIR	Mirion Technologies, Inc.	Specialty Industrial Machinery	5.41B
MIRA	MIRA Pharmaceuticals, Inc.	Drug Manufacturers - General	53.18M
MIRM	Mirum Pharmaceuticals, Inc.	Biotechnology	5.57B
MIST	Milestone Pharmaceuticals Inc.	Biotechnology	173.71M
MITK	Mitek Systems, Inc.	Software - Application	660.71M
MITQ	Moving iMage Technologies, Inc.	Communication Equipment	6.07M
MITT	TPG Mortgage Investment Trust, Inc.	REIT - Mortgage	256.74M
MKC	McCormick & Company, Incorporated	Packaged Foods	19.07B
MKC.V	McCormick & Company, Incorporated	Packaged Foods	19.07B
MKDW	MKDWELL Tech Inc.	Auto Parts	11.49M
MKL	Markel Group Inc.	Insurance - Property & Casualty	26.06B
MKLY	McKinley Acquisition Corporation	Shell Companies	244.06M
MKSI	MKS Inc.	Scientific & Technical Instruments	16.44B
MKTW	MarketWise, Inc.	Financial Data & Stock Exchanges	224.98M
MKTX	MarketAxess Holdings Inc.	Capital Markets	6.83B
MKZR	MacKenzie Realty Capital, Inc.	REIT - Diversified	40.73M
MLAA	Mountain Lake Acquisition Corp. II	Shell Companies	470.90M
