AIRO	AIRO Group Holdings, Inc.	Aerospace & Defense	306.78M
AIRS	AirSculpt Technologies, Inc.	Medical Care Facilities	98.65M
AIRT	Air T, Inc.	Conglomerates	60.12M
AISP	Airship AI Holdings, Inc.	Software - Infrastructure	93.84M
AIT	Applied Industrial Technologies, Inc.	Industrial Distribution	10.54B
AIV	Apartment Investment and Management Company	REIT - Residential	675.36M
AIXC	AIxCrypto Holdings, Inc.	Software - Infrastructure	8.04M
AIXI	Xiao-I Corporation	Software - Application	2.59M
AIZ	Assurant, Inc.	Insurance - Property & Casualty	11.41B
AJG	Arthur J. Gallagher & Co.	Insurance Brokers	58.67B
AKA	a.k.a. Brands Holding Corp.	Apparel Retail	107.50M
AKAM	Akamai Technologies, Inc.	Software - Infrastructure	14.26B
AKAN	Akanda Corp.	Drug Manufacturers - Specialty & Generic	2.19M
AKBA	Akebia Therapeutics, Inc.	Drug Manufacturers - Specialty & Generic	350.92M
AKO.A	Embotelladora Andina S.A.	Beverages - Non-Alcoholic	4.28B
AKO.B	Embotelladora Andina S.A.	Beverages - Non-Alcoholic	4.28B
AKR	Acadia Realty Trust	REIT - Retail	2.85B
AKTS	Aktis Oncology, Inc.	Biotechnology	1.06B
AKTX	Akari Therapeutics, Plc	Biotechnology	10.69M
AL	Air Lease Corporation	Rental & Leasing Services	7.26B
ALAB	Astera Labs, Inc.	Semiconductors	20.23B
ALAR	Alarum Technologies Ltd.	Software - Infrastructure	46.07M
ALB	Albemarle Corporation	Specialty Chemicals	21.06B
ALBT	Avalon GloboCare Corp.	Real Estate Services	8.53M
ALC	Alcon Inc.	Medical Instruments & Supplies	42.38B
ALCO	Alico, Inc.	Farm Products	316.07M
ALCY	Alchemy Investments Acquisition Corp 1	Shell Companies	49.61M
ALDF	Aldel Financial II Inc.	Shell Companies	316.29M
ALDX	Aldeyra Therapeutics, Inc.	Biotechnology	328.49M
ALEC	Alector, Inc.	Biotechnology	265.24M
ALEX	Alexander & Baldwin, Inc.	REIT - Retail	1.51B
ALF	Centurion Acquisition Corp.	Shell Companies	386.15M
ALG	Alamo Group Inc.	Farm & Heavy Construction Machinery	2.59B
ALGM	Allegro MicroSystems, Inc.	Semiconductors	6.76B
ALGN	Align Technology, Inc.	Medical Instruments & Supplies	13.64B
ALGS	Aligos Therapeutics, Inc.	Biotechnology	43.26M
ALGT	Allegiant Travel Company	Airlines	1.81B
ALH	Alliance Laundry Holdings Inc.	Furnishings, Fixtures & Appliances	4.43B
ALHC	Alignment Healthcare, Inc.	Healthcare Plans	3.92B
ALIS	Calisa Acquisition Corp	Shell Companies	84.28M
ALIT	Alight, Inc.	Software - Application	461.48M
ALK	Alaska Air Group, Inc.	Airlines	5.92B
ALKS	Alkermes plc	Drug Manufacturers - Specialty & Generic	5.02B
ALKT	Alkami Technology, Inc.	Software - Application	1.76B
ALL	The Allstate Corporation	Insurance - Property & Casualty	55.68B
ALLE	Allegion plc	Security & Protection Services	13.88B
ALLO	Allogene Therapeutics, Inc.	Biotechnology	624.75M
ALLR	Allarity Therapeutics, Inc.	Biotechnology	15.60M
ALLT	Allot Ltd.	Software - Infrastructure	307.19M
ALLY	Ally Financial Inc.	Credit Services	12.19B
ALM	Almonty Industries Inc.	Other Industrial Metals & Mining	5.15B
ALMS	Alumis Inc.	Biotechnology	3.70B
ALMU	Aeluma, Inc.	Semiconductors	279.22M
ALNT	Allient Inc.	Electronic Components	1.12B
ALNY	Alnylam Pharmaceuticals, Inc.	Biotechnology	44.15B
ALOT	AstroNova, Inc.	Computer Hardware	69.36M
ALOV	Aldabra 4 Liquidity Opportunity Vehicle, Inc.	Shell Companies	363.21M
ALOY	REalloys Inc.	Other	1.05B
ALPS	Alps Group Inc	Oil & Gas	159.74M
ALRM	Alarm.com Holdings, Inc.	Software - Application	2.38B
ALRS	Alerus Financial Corporation	Banks - Regional	605.69M
ALSN	Allison Transmission Holdings, Inc.	Auto Parts	10.38B
ALT	Altimmune, Inc.	Biotechnology	539.75M
ALTG	Alta Equipment Group Inc.	Rental & Leasing Services	221.86M
ALTI	AlTi Global, Inc.	Asset Management	649.67M
ALTO	Alto Ingredients, Inc.	Specialty Chemicals	176.34M
ALTS	ALT5 Sigma Corporation	Software - Application	175.61M
ALUR	Allurion Technologies Inc.	Medical Devices	14.37M
ALV	Autoliv, Inc.	Auto Parts	8.85B
ALVO	Alvotech	Drug Manufacturers - Specialty & Generic	1.25B
ALX	Alexander's, Inc.	REIT - Retail	1.20B
ALXO	ALX Oncology Holdings Inc.	Biotechnology	276.83M
ALZN	Alzamend Neuro, Inc.	Biotechnology	7.65M
AM	Antero Midstream Corporation	Oil & Gas Midstream	10.63B
AMAL	Amalgamated Financial Corp.	Banks - Regional	1.15B
AMAT	Applied Materials, Inc.	Semiconductor Equipment & Materials	295.46B
AMBA	Ambarella, Inc.	Semiconductor Equipment & Materials	2.60B
AMBO	Ambow Education Holding Ltd.	Education & Training Services	5.03M
AMBP	Ardagh Metal Packaging S.A.	Packaging & Containers	2.90B
AMBQ	Ambiq Micro, Inc.	Semiconductors	643.16M
AMBR	Amber International Holding Limited	Software - Infrastructure	243.58M
AMC	AMC Entertainment Holdings, Inc.	Entertainment	614.28M
AMCI	AMC Robotics Corporation	Computer Hardware	166.98M
AMCR	Amcor plc	Packaging & Containers	22.37B
AMCX	AMC Networks Inc.	Entertainment	348.97M
AMD	Advanced Micro Devices, Inc.	Semiconductors	326.42B
AME	AMETEK, Inc.	Specialty Industrial Machinery	54.78B
AMG	Affiliated Managers Group, Inc.	Asset Management	8.17B
AMGN	Amgen Inc.	Drug Manufacturers - General	209.24B
AMH	American Homes 4 Rent	REIT - Residential	12.43B
AMIX	Autonomix Medical, Inc.	Medical Devices	5.01M
AMKR	Amkor Technology, Inc.	Semiconductor Equipment & Materials	11.83B
AMLX	Amylyx Pharmaceuticals, Inc.	Drug Manufacturers - Specialty & Generic	1.67B
AMN	AMN Healthcare Services, Inc.	Medical Care Facilities	752.73M
AMOD	Alpha Modus Holdings, Inc.	Software - Application	23.79M
AMP	Ameriprise Financial, Inc.	Asset Management	42.87B
AMPG	AmpliTech Group, Inc.	Communication Equipment	67.49M
AMPH	Amphastar Pharmaceuticals, Inc.	Drug Manufacturers - Specialty & Generic	923.41M
AMPL	Amplitude, Inc.	Software - Application	976.20M
AMPX	Amprius Technologies, Inc.	Electrical Equipment & Parts	1.40B
AMPY	Amplify Energy Corp.	Oil & Gas Exploration & Production	232.33M
AMR	Alpha Metallurgical Resources, Inc.	Coking Coal	2.09B
AMRC	Ameresco, Inc.	Engineering & Construction	1.61B
AMRN	Amarin Corporation plc	Drug Manufacturers - General	286.94M
AMRX	Amneal Pharmaceuticals, Inc.	Drug Manufacturers - Specialty & Generic	4.34B
AMS	American Shared Hospital Services	Medical Care Facilities	13.81M
AMSC	American Superconductor Corporation	Specialty Industrial Machinery	1.55B
AMSF	AMERISAFE, Inc.	Insurance - Specialty	615.24M
AMST	Amesite Inc.	Software - Application	8.09M
AMT	American Tower Corporation	REIT - Specialty	89.42B
AMTB	Amerant Bancorp Inc.	Banks - Regional	865.94M
AMTD	AMTD IDEA Group	Asset Management	70.17M
AMTM	Amentum Holdings, Inc.	Specialty Business Services	7.29B
AMTX	Aemetis, Inc.	Specialty Chemicals	94.23M
AMWD	American Woodmark Corporation	Furnishings, Fixtures & Appliances	729.92M
AMWL	American Well Corporation	Health Information Services	94.35M
AMX	América Móvil, S.A.B. de C.V.	Telecom Services	78.37B
AMZE	Amaze Holdings, Inc.	Software - Application	6.83M
AMZN	Amazon.com, Inc.	Internet Retail	2.25T
AN	AutoNation, Inc.	Auto & Truck Dealerships	6.77B
ANAB	AnaptysBio, Inc.	Biotechnology	1.52B
ANDE	The Andersons, Inc.	Food Distribution	2.19B
ANDG	Andersen Group Inc.	Consulting Services	2.57B
ANEB	Anebulo Pharmaceuticals, Inc.	Biotechnology	14.68M
ANET	Arista Networks, Inc.	Computer Hardware	167.75B
ANF	Abercrombie & Fitch Co.	Apparel Retail	4.48B
ANGH	Anghami Inc.	Entertainment	27.19M
ANGI	Angi Inc.	Internet Content & Information	312.01M
ANGO	AngioDynamics, Inc.	Medical Instruments & Supplies	471.53M
ANGX	Angel Studios, Inc.	Entertainment	661.04M
ANIK	Anika Therapeutics, Inc.	Drug Manufacturers - Specialty & Generic	207.09M
ANIP	ANI Pharmaceuticals, Inc.	Drug Manufacturers - Specialty & Generic	1.54B
ANIX	Anixa Biosciences, Inc.	Biotechnology	99.47M
ANL	Adlai Nortye Ltd.	Biotechnology	290.04M
ANNA	AleAnna, Inc.	Oil & Gas Exploration & Production	189.96M
ANNX	Annexon, Inc.	Biotechnology	834.71M
ANPA	Rich Sparkle Holdings Limited	Specialty Business Services	1.16B
ANRO	Alto Neuroscience, Inc.	Biotechnology	611.70M
ANSC	Agriculture & Natural Solutions Acquisition Corporation	Shell Companies	465.95M
ANTA	Antalpha Platform Holding Company	Credit Services	207.89M
ANTX	AN2 Therapeutics, Inc.	Biotechnology	30.14M
ANVS	Annovis Bio, Inc.	Biotechnology	71.03M
ANY	Sphere 3D Corp.	Capital Markets	5.02M
AOMR	Angel Oak Mortgage REIT, Inc.	REIT - Mortgage	213.77M
AON	Aon plc	Insurance Brokers	71.88B
AORT	Artivion, Inc.	Medical Devices	1.84B
AOS	A. O. Smith Corporation	Specialty Industrial Machinery	10.79B
AOSL	Alpha and Omega Semiconductor Limited	Semiconductors	625.27M
AOUT	American Outdoor Brands, Inc.	Leisure	114.54M
AP	Ampco-Pittsburgh Corporation	Metal Fabrication	185.17M
APA	APA Corporation	Oil & Gas Exploration & Production	10.73B
APAC	StoneBridge Acquisition II Corporation	Shell Companies	80.83M
APAD	A Paradise Acquisition Corp.	Shell Companies	276.76M
APAM	Artisan Partners Asset Management Inc.	Asset Management	3.25B
APC	ARKO Petroleum Corp.	Oil & Gas Refining & Marketing	876.57M
APD	Air Products and Chemicals, Inc.	Specialty Chemicals	61.38B
APEI	American Public Education, Inc.	Education & Training Services	828.66M
APG	APi Group Corporation	Engineering & Construction	19.18B
APGE	Apogee Therapeutics, Inc.	Biotechnology	4.72B
APH	Amphenol Corporation	Electronic Components	179.54B
API	Agora, Inc.	Software - Application	419.48M
APLD	Applied Digital Corporation	Information Technology Services	7.62B
APLE	Apple Hospitality REIT, Inc.	REIT - Hotel & Motel	2.89B
APLM	Apollomics, Inc.	Biotechnology	43.37M
APLS	Apellis Pharmaceuticals, Inc.	Biotechnology	2.68B
APM	Aptorum Group Limited	Biotechnology	6.35M
APO	Apollo Global Management, Inc.	Asset Management	60.48B
APOG	Apogee Enterprises, Inc.	Building Products & Equipment	856.53M
APP	AppLovin Corporation	Advertising Agencies	146.64B
APPF	AppFolio, Inc.	Software - Application	6.40B
APPN	Appian Corporation	Software - Infrastructure	1.97B
APPS	Digital Turbine, Inc.	Software - Application	486.79M
APRE	Aprea Therapeutics, Inc.	Biotechnology	6.41M
APT	Alpha Pro Tech, Ltd.	Building Products & Equipment	53.98M
APTV	Aptiv PLC	Auto Parts	15.65B
APUS	Apimeds Pharmaceuticals US, Inc.	Drug Manufacturers - Specialty & Generic	17.10M
APVO	Aptevo Therapeutics Inc.	Biotechnology	7.30M
APWC	Asia Pacific Wire & Cable Corporation Limited	Electrical Equipment & Parts	68.77M
APXT	Apex Treasury Corporation	Shell Companies	456.52M
APYX	Apyx Medical Corporation	Medical Devices	134.17M
AQB	AquaBounty Technologies, Inc.	Farm Products	5.04M
AQMS	Aqua Metals, Inc.	Waste Management	14.61M
AQN	Algonquin Power & Utilities Corp.	Utilities - Diversified	5.37B
AQST	Aquestive Therapeutics, Inc.	Drug Manufacturers - Specialty & Generic	488.01M
AR	Antero Resources Corporation	Oil & Gas Exploration & Production	11.36B
ARAI	Arrive AI Inc.	Software - Infrastructure	37.63M
ARAY	Accuray Incorporated	Medical Devices	68.60M
ARBB	ARB IOT Group Limited	Information Technology Services	8.19M
ARBE	Arbe Robotics Ltd.	Scientific & Technical Instruments	100.66M
ARBK	Argo Blockchain plc	Capital Markets	954.21K
ARCB	ArcBest Corporation	Trucking	2.29B
ARCC	Ares Capital Corporation	Asset Management	13.37B
ARCI	Archimedes Tech SPAC Partners III Co.	Shell Companies	344.10M
ARCO	Arcos Dorados Holdings Inc.	Restaurants	1.85B
ARCT	Arcturus Therapeutics Holdings Inc.	Biotechnology	233.85M
ARDT	Ardent Health, Inc.	Medical Care Facilities	1.34B
ARDX	Ardelyx, Inc.	Biotechnology	1.61B
ARE	Alexandria Real Estate Equities, Inc.	REIT - Office	9.37B
AREB	American Rebel Holdings, Inc.	Footwear & Accessories	2.09M
AREC	American Resources Corporation	Coking Coal	304.18M
AREN	The Arena Group Holdings, Inc.	Internet Content & Information	137.50M
ARES	Ares Management Corporation	Asset Management	36.90B
ARGX	argenx SE	Biotechnology	47.54B
ARHS	Arhaus, Inc.	Specialty Retail	1.16B
ARI	Apollo Commercial Real Estate Finance, Inc.	REIT - Mortgage	1.48B
ARIS	Aris Mining Corporation	Gold	4.63B
